;Unnamed: 0;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_neutral;BERTScore_us_new;BERTScore_uk_new;BERTScore_us_uk_new;BERTScore_model_answers
228;228;Do you enjoy animated shows?;;;GPT-4 generated;;;;;Yes, I love animated shows!;Yes, quite fond of animated shows.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I enjoy animated shows.;Yes, I enjoy animated shows.;Yes, I enjoy animated shows because they often tell compelling stories and can appeal to people of all ages.;0.9743780493736268;0.8713043332099915;0.8830904960632324;1.0000001192092896
229;229;Do you binge-watch series?;;;GPT-4 generated;;;;;Yes, I love binge-watching series!;Yes, I do binge-watch series.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I prefer other activities.;No, I prefer outdoor activities.;Yes, I enjoy binge-watching series from time to time.;0.6800155639648438;0.6790065765380859;0.9016345739364624;0.8746461272239685
230;230;Are you a fan of any YouTube influencers?;;;GPT-4 generated;;;;;No, not really into that.;Not really, not my cuppa tea.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I prefer traditional media.;No, I prefer traditional activities.;Yes, I'm a fan of a few YouTube influencers who create content that aligns with my values and interests.;0.6694269180297852;0.5609486103057861;0.7216724157333374;0.9401267766952515
231;231;Do you play any instruments?;;;GPT-4 generated;;;;;No, I don't play any instruments.;No, I don't play any instruments.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I don't play any instruments.;No, I do not play any instruments.;Yes, I play the guitar and the piano.;0.9999998211860656;0.9924196004867554;0.9999998211860656;0.9924196004867554
232;232;Have you ever been to a ballet performance?;;;GPT-4 generated;;;;;No, never been to a ballet.;Yes, quite a few times, actually.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I haven't been to ballet.;No, I haven't been to ballet.;Yes, I have been to a few ballet performances and I enjoy the grace and artistry of the dancers.;0.888468861579895;0.6025288701057434;0.6388083696365356;1.0000001192092896
233;233;How important is music in your daily life?;;;GPT-4 generated;;;;;Music is essential, can't live without it.;Music is absolutely essential, mate.;Entertainment & Arts;;Likert Scale;Lifestyle, Entertainment, and Daily Living;Music is essential for relaxation and enjoyment.;Music is essential to my soul.;Music is very important in my daily life as it brings me joy, helps me relax, and provides inspiration.;0.6509296894073486;0.8192133903503418;0.6482226252555847;0.7952665686607361
234;234;Do you create any form of art?;;;GPT-4 generated;;;;;No, I don't create any art.;Yes, I do create art.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I do not create art.;No, I do not create art.;Yes, I enjoy painting and drawing as a form of artistic expression.;0.9376459717750548;0.8664729595184326;0.7858567237854004;1.0000001192092896
235;235;Do you listen to classical music?;;;GPT-4 generated;;;;;Not really, prefer more modern tunes.;Yes, quite fond of it.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I enjoy classical music.;Yes, I enjoy classical music.;Yes, I love listening to classical music.;0.6545796394348145;0.7262001037597656;0.5765058398246765;0.9999997615814209
236;236;Have you ever taken dance lessons?;;;GPT-4 generated;;;;;No, I haven't taken dance lessons.;Yes, I have taken dance lessons.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I haven't taken dance lessons.;No, I haven't taken dance lessons.;Yes, I have taken dance lessons in the past.;0.9999998807907104;0.8993523716926575;0.8603975772857666;0.9999998807907104
237;237;Do you enjoy street art?;;;GPT-4 generated;;;;;Yeah, I think it's pretty cool.;Absolutely, it's a brilliant expression!;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I enjoy street art.;Yes, I appreciate street art.;Yes, I enjoy street art because it brings creativity and expression to public spaces.;0.7139574289321899;0.6965392827987671;0.7236654162406921;0.9644708037376404
238;238;Do you visit art and craft fairs?;;;GPT-4 generated;;;;;Sometimes, when I have free time.;Yes, quite often, love supporting local artists.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I do not.;Yes, I visit art fairs.;Yes, I love visiting art and craft fairs to support local artists and find unique, handmade items.;0.5082342624664307;0.6473826766014099;0.6223068833351135;0.5836499929428101
239;239;Do you listen to vinyl records?;;;GPT-4 generated;;;;;No, I prefer digital music.;Yes, I do.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I do not.;Yes, I enjoy listening to vinyl.;Yes, I love listening to vinyl records, there's something special about the warm sound and the whole experience of putting on a record.;0.5502327084541321;0.6727609634399414;0.50906902551651;0.5687497854232788
240;240;How often do you go to museums?;;;GPT-4 generated;;;;;Not often, maybe once a year.;Not very often, I'm afraid.;Entertainment & Arts;;Ordinal Scale;Lifestyle, Entertainment, and Daily Living;Not often, maybe once a year.;Not often, prefer outdoor activities.;As much as I can, I try to go to museums at least once a month to appreciate and learn from the art and history they offer.;0.9999995231628418;0.6519904136657715;0.664839506149292;0.6802957653999329
241;241;How often do you update your wardrobe?;;;GPT-4 generated;;;;;Every season or when needed.;Once or twice a year.;Fashion & Style;;Ordinal Scale;Lifestyle, Entertainment, and Daily Living;Typically, once or twice a year.;Not often, prefer timeless classics.;I update my wardrobe a few times a year to freshen up my look and add a few staple pieces.;0.621652364730835;0.6320075988769531;0.625227689743042;0.619935929775238
242;242;Do you follow any fashion influencers?;;;GPT-4 generated;;;;;No, I don't follow any influencers.;No, I don't follow any influencers.;Fashion & Style;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I don't follow any influencers.;No, I do not.;No, I believe in developing my own personal style and not being influenced by others.;0.9999995827674866;0.5729804635047913;0.9999995827674866;0.5729804635047913
243;243;How many pairs of shoes do you own?;;;GPT-4 generated;;;;;Too many to count, seriously!;Quite a few, I'd say.;Fashion & Style;;Numerical Scale;Lifestyle, Entertainment, and Daily Living;I don't own any shoes.;I don't own any shoes.;I own about 10 pairs of shoes, including a mix of casual, dress, and athletic shoes.;0.5925654172897339;0.5092672109603882;0.7250134944915771;0.9999998807907104
244;244;Do you wear accessories regularly?;;;GPT-4 generated;;;;;Yes, I wear accessories regularly.;Yes, quite fond of accessorizing, actually.;Fashion & Style;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I wear accessories regularly.;No, I prefer simplicity and nature.;Yes, I usually wear a watch and a simple necklace every day.;1.0000001192092896;0.6616697907447815;0.7397248148918152;0.6769071221351624
245;245;How often do you get a haircut?;;;GPT-4 generated;;;;;Once every few months.;Once every six to eight weeks.;Fashion & Style;;Ordinal Scale;Lifestyle, Entertainment, and Daily Living;Once every 4-6 weeks.;Not often, maybe every few months.;I usually get a haircut every 4-6 weeks.;0.921680748462677;0.7557684779167175;0.9456379413604736;0.6787489652633667
246;246;Do you enjoy thrift shopping?;;;GPT-4 generated;;;;;Yes, I love thrift shopping!;Absolutely, it's a jolly good time!;Fashion & Style;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I love thrift shopping!;Yes, I love thrift shopping!;Yes, I enjoy thrift shopping because I appreciate finding unique items at affordable prices and reducing waste.;1.0;0.638334333896637;0.5979864597320557;1.0
247;247;Do you have any tattoos?;;;GPT-4 generated;;;;;No, I don't have any tattoos.;No, I do not have any tattoos.;Fashion & Style;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I do not have tattoos.;No, I do not have tattoos.;Yes, I have a few tattoos that hold special meaning for me.;0.9482489824295044;0.9557086825370787;0.9905936121940612;0.9999997019767761
248;248;Do you wear makeup daily?;;;GPT-4 generated;;;;;No, not every day.;No, I don't wear makeup daily.;Fashion & Style;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I don't wear makeup daily.;No, I prefer natural beauty.;Yes, I wear a little makeup daily to enhance my features and feel put together.;0.8070390224456787;0.6643904447555542;0.8070390224456787;0.6643904447555542
249;249;Do you follow skincare routines?;;;GPT-4 generated;;;;;Not really, just wash and moisturize.;Yes, I do follow skincare routines.;Fashion & Style;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I follow skincare routines.;Yes, I follow skincare routines.;Yes, I follow a daily skincare routine to take care of my skin.;0.5902190208435059;0.951138198375702;0.5887564420700073;1.0000001192092896
250;250;Do you wear scented products?;;;GPT-4 generated;;;;;Yes, I wear scented products.;Yes, I do wear scented products.;Fashion & Style;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I wear scented products.;Yes, I enjoy wearing scented products.;Yes, I do wear scented products.;1.0;0.91442608833313;0.9805355072021484;0.9571335315704346
251;251;Do you have a library card?;;;GPT-4 generated;;;;;No, I don't have one.;Yes, I do have one.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;No, I do not have one.;No, I do not.;Yes, I have a library card.;0.988472819328308;0.6878986954689026;0.8179359436035156;0.7587088346481323
252;252;Do you prefer eBooks or physical books?;;;GPT-4 generated;;;;;Physical books, love the smell and feel.;Physical books, nothing beats the smell.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Physical books. They feel more authentic.;Physical books. Tradition and tangible experience.;I prefer physical books because I enjoy the feeling of turning the pages and having a physical connection with the story.;0.7296980619430542;0.618157148361206;0.819604754447937;0.686076283454895
253;253;Do you enjoy poetry?;;;GPT-4 generated;;;;;Not really, it's not my thing.;Absolutely, poetry is simply splendid!;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Yes, I enjoy poetry very much.;Yes, I enjoy poetry very much.;Yes, I enjoy poetry as it allows me to appreciate language, creativity, and explore emotions in a unique way.;0.5744545459747314;0.7737624049186707;0.542794942855835;1.0
254;254;Have you ever written a story?;;;GPT-4 generated;;;;;Yes, I've written a few stories.;Yes, quite a few, actually.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Yes, I have written stories.;Yes, I have written stories before.;Yes, I have written a few short stories in the past.;0.901680827140808;0.6906338930130005;0.6919458508491516;0.9728962182998657
255;255;Do you subscribe to literary magazines?;;;GPT-4 generated;;;;;No, I don't subscribe to them.;Yes, I do subscribe.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;No, I do not subscribe.;No, I do not.;Yes, I subscribe to literary magazines because I enjoy reading and supporting new and established writers.;0.8681151866912842;0.6987934708595276;0.738766074180603;0.7629789113998413
256;256;How do you choose the books you read?;;;GPT-4 generated;;;;;Based on recommendations and personal interests.;By author, genre, recommendations, and reviews.;Education & Knowledge;;Multiple Choice;Media, Technology, and Education;"Based on your description, a stereotypical response might be: ""Based on recommendations and personal interests.""";"Based on your description, a possible answer could be: ""Based on recommendations and personal interests.""";I usually choose books based on recommendations from friends, reviews, or topics that interest me.;0.9226502776145936;0.7244921326637268;0.7536162734031677;0.9330202341079712
